Metric,Value
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19607552
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19619840
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19636224
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19652608
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19664896
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19681280
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19693568
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19709952
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19845120
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19738624
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19750912
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19763200
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19779584
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19791872
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19808256
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19824640
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19836928
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19857408
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19869696
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19881984
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19898368
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19906560
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19927040
"{'__name__': 'container_memory_usage_bytes', 'container_label_com_docker_compose_config_hash': 'dc353ce1de319497e8c7640d6ea651dfdc0387a8abe6f4e41c75e3f2dffcc8d7', 'container_label_com_docker_compose_container_number': '1', 'container_label_com_docker_compose_depends_on': 'upf:service_started:false', 'container_label_com_docker_compose_image': 'sha256:9ceaaaecdbe7f1870f71ac7b5d2079f1bee2a16af73975c6a6d32e3645ab7fb0', 'container_label_com_docker_compose_oneoff': 'False', 'container_label_com_docker_compose_project': 'disag_vcc', 'container_label_com_docker_compose_project_config_files': '/home/henok/disag_vcc/docker-compose_with_F1_E1_split.yaml', 'container_label_com_docker_compose_project_working_dir': '/home/henok/disag_vcc', 'container_label_com_docker_compose_service': 'oai-cucp', 'container_label_com_docker_compose_version': '2.29.1', 'container_label_org_opencontainers_image_ref_name': 'ubuntu', 'container_label_org_opencontainers_image_version': '22.04', 'id': '/docker/794191fb6881809cd2942ed72c994ba3cc61256e21873a9df3a023331122d443', 'image': 'oaisoftwarealliance/oai-gnb:develop', 'instance': 'cadvisor:8080', 'job': 'cadvisor', 'name': 'rfsim5g-oai-cucp'}",19939328
